ward_code_2001,ward_name_2001,ward_code_1991,ward_name_1991,TOTAL_RES_1981,CHINESE_BORN_1981,CHINESE_BORN_MALE_1981,CHINESE_BORN_FEMALE_1981,ALL_EMPLOYED_1981,TOTAL_HH_1981,OWNER_OCC_HH_1981,SOCIAL_RENT_HH_1981,NO_CAR_HH_1981,OVERCROWD_GT1P5_1981,OVERCROWD_1TO1P5_1981,NO_BATH_OR_WC_1981,NO_INSIDE_BATH_OR_WC_1981,PCT_MALE_1981,PCT_FEMALE_1981,PCT_CHINESE_BORN_1981,EMP_RATE_1981,PCT_OWNER_OCC_1981,PCT_SOCIAL_RENT_1981,PCT_NO_CAR_1981,CAR_OWNERSHIP_INDEX_1981,PCT_OVERCROWD_GT1P5_1981,PCT_OVERCROWD_1TO1P5_1981,PCT_NO_BATH_OR_WC_1981,PCT_NO_INSIDE_BATH_OR_WC_1981,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,CHINA_BORN_MALE_1991,CHINA_BORN_FEMALE_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_MALE_1991,PCT_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,PCT_CHINA_BORN_1991,CHINESE_EMP_RATE_1991,CHINESE_UNEMP_RATE_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991,total_pop,chinese_ethnic_count,asia_born_count,pop_16_74,total_hh_spaces,chinese_ethnic_pct,asia_born_pct,econ_active_rate,unemployment_rate,self_employment_rate,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate,interp_coverage,n_source_eds,interp_uncertainty_flag
00BNFA,Ardwick,03BNFA,Ardwick,12796.26182612561,85.83281820084234,50.457128787807406,35.37568941303493,2349.030594014168,4747.861705501723,181.7141127617083,6.942941811945233,3814.7160060580795,86.24216178670801,318.98779564109634,66.46439773223393,44.19959066810232,47.95649687562887,49.204850275764606,0.6707647855844974,16.22143204020856,3.8272831862634455,0.1462330253617096,80.34597978365011,33.80390163080381,1.8164421614633885,6.7185570142335855,1.399880659017856,0.9309367755359167,9655,4716,4939,202,112,90,12,33,62,85,10,19,81,48,33,311,127,38,141,6,13,48.84515794924909,51.15484205075091,2.092180217503884,0.8389435525634387,40.836012861736336,12.218649517684888,4.25531914893617,9.21985815602837,9887,577,1222,7350,4258,5.835962374835643,12.359623748356428,43.451003337716195,7.322012744007282,2.1729746131283503,11.269113988065135,56.65368868210782,18.101334075048044,3.9878001416000814,1.3559016890866795,5.5904399716799835,64.51873773642157,1.0,53,low
00BNFB,Baguley,03BNFB,Baguley,13963.355498031024,23.312389129933244,13.319349918689996,9.993039211243248,3226.7105809052778,5178.119180916945,960.5424966705583,1.9865677949656861,2842.4706908143685,34.48468772440661,180.62831260100916,10.350859566202129,2.96057993800237,46.66696058033564,53.33303941966435,0.16695406153070105,22.46442535966568,18.550026816888845,0.03836465955219485,54.893883116669045,45.69636586432856,0.6659693707223641,3.488299637186477,0.19989612453008837,0.05717481260209442,12060,5648,6412,42,20,22,2,13,15,11,1,3,5,3,2,95,70,4,44,1,21,46.83250414593698,53.16749585406302,0.3482587064676617,0.0414593698175787,73.6842105263158,4.2105263157894735,2.272727272727273,47.72727272727273,11369,48,146,7754,5014,0.4217635675960947,1.2838305919605946,62.54554490280588,4.626966311900783,3.817933855220336,47.86428093939661,38.83664174509631,8.142100448588266,1.6362468115049695,0.3614126132465476,7.175614390007916,41.83803148913713,0.9956774117045422,43,low
00BNFC,Barlow Moor,03BNFC,Barlow Moor,12754.959967846537,61.8665086463636,23.61042325507356,38.256085391290036,2820.287713184064,5072.739159726355,1227.497081703459,5.0,2871.1695717642547,85.73428076748763,170.03786444539207,50.60057793521222,27.982320530714453,45.84153072273902,48.090572323888935,0.48503883040260715,21.43094690170133,24.197914441350367,0.09856607727233745,56.59998437449991,50.77194946703964,1.690098348603292,3.351993057229551,0.9975000949574122,0.5516215135379431,12561,5939,6622,48,28,20,2,1,30,13,2,1,10,6,4,277,168,41,127,2,57,47.28126741501473,52.71873258498527,0.3821351803200382,0.0796114959000079,60.64981949458484,14.8014440433213,1.5748031496062993,44.881889763779526,12865,112,627,10035,5866,0.8711768363777692,4.8746039642440735,63.084674698795176,4.780832491255343,5.4870221531286445,37.134656043528956,29.356094830936637,28.669950252623394,1.8414450058297707,0.5939440342013214,6.56451379712398,40.07968596968519,0.9994128705089099,50,low
00BNFD,Benchill,03BNFD,Benchill,14712.633963472288,15.750043591378283,7.865935407031002,7.88410818434728,2616.005871271713,4876.633413040514,88.07302093235035,3.9895989267907375,3343.5398739345214,68.15523366454606,409.10365353029636,10.001993167398519,0.9937419708028846,47.94600890235012,52.05399109764988,0.10705114822051319,17.777356789558752,1.8060209466808788,0.0818105153469651,68.56246083606827,31.38599163473306,1.397587800680146,8.389058985576401,0.2051003698709929,0.020377622975422716,12766,5931,6835,17,9,8,0,4,3,8,2,1,1,1,0,36,22,5,23,0,2,46.459345135516216,53.54065486448378,0.1331662227792574,0.0078333072223092,61.11111111111112,13.88888888888889,0.0,8.695652173913043,10432,9,68,6786,4370,0.08641679447852761,0.6520763036809815,52.03221338190185,7.380779332822087,1.8219948236196315,19.936220283742333,32.98038343558282,7.397002492331288,3.333134585889571,0.35785371932515336,4.513302338957056,55.58778757668711,1.0,37,low
00BNFE,Beswick and Clayton,03BNFE,Beswick and Clayton,12496.947397221693,28.82787425012127,16.957140549060686,11.870733701060583,2682.6682965501345,4513.088960993105,1099.8312860057965,35.87881307923482,3222.5318049258653,45.98626330902429,271.7105052154479,459.8506609370119,99.29679031461927,49.44411836563772,50.386961561806736,0.2306793277895228,20.98408880536366,24.369811796570012,0.7949945899435513,71.404127700083,33.77071902514478,1.0189531761169852,6.020499652540818,10.189266484918166,2.200195723435707,11805,5590,6215,88,46,42,8,19,19,36,6,3,7,2,5,99,57,17,43,1,19,47.352816603134265,52.647183396865735,0.745446844557391,0.0592969080897924,57.57575757575758,17.171717171717173,2.3255813953488373,44.18604651162791,9419,111,170,6288,4242,1.1787238560356725,1.8051704002548044,47.91001592525746,5.9478713239197365,2.2952096825565347,28.38323388894787,45.46545599320522,13.569186750185798,1.9228400042467353,0.5638592207240684,9.627822486463533,60.1716190678416,0.9869680935500895,43,low
00BNFF,Blackley,03BNFF,Blackley,12725.902629549013,12.55432264575258,6.877430064396079,5.676892581356501,2822.591497653771,4967.772863527428,1370.3100683094572,8.328957320254922,3212.1746428653673,36.483915167389625,202.71628679447366,39.42125343901673,3.316236825988636,45.44560391695924,54.55439608304076,0.09865172641351166,21.465292246447106,27.58399198099512,0.1676597853618622,64.66025583513742,37.76531027048094,0.7344119018654925,4.080627121315939,0.7935397716840297,0.06675500102542735,11937,5571,6366,91,47,44,7,18,34,28,4,3,11,4,7,106,67,13,41,0,19,46.67001759235989,53.32998240764011,0.7623355952081763,0.0921504565636257,63.20754716981132,12.264150943396226,0.0,46.34146341463415,10229,92,140,6845,4627,0.8994163652360934,1.3687946035780625,53.35505132466516,5.196726952781308,3.8612689412454784,45.12591162381464,41.546981132075466,8.803888943200704,1.5410734187115067,0.39717078893342456,6.508612767621469,50.805691660963916,0.9943223436675543,36,low
00BNFG,Bradford,03BNFG,Bradford,13651.08949612889,74.7160769155874,45.282829899405975,29.43324701618142,2851.0685927049567,5261.750499097983,1759.8093281097524,30.19813045672202,3815.336175051462,40.36586063762725,251.23051029945515,557.5625355663201,257.3932031286371,47.499091751031834,49.64865193621557,0.5473268411050636,20.269186297064884,33.445320685795245,0.5739179473047773,72.51077708275072,29.214951315128527,0.767156493728601,4.774656463519571,10.596521740472157,4.891778946431644,11600,5537,6063,57,34,23,4,10,23,18,2,6,8,5,3,83,43,10,35,1,12,47.73275862068966,52.26724137931034,0.4913793103448275,0.0689655172413793,51.80722891566265,12.048192771084338,2.857142857142857,34.285714285714285,8445,179,241,5850,3829,2.119812907045589,2.8534470100651275,51.8050053285968,6.715501480165779,3.1937193605683833,37.349577264653654,28.318821788040264,15.728638247483715,1.9120071047957372,0.3166583777383067,10.842653641207816,56.840137359384244,0.9843854771864156,48,low
00BNFH,Brooklands,03BNFH,Brooklands,11462.455361539196,18.494457502640845,10.965754321020391,7.528703181620452,2635.2276918917687,4356.262315192934,1096.8766506583167,0.9999999999999998,2312.1385379971525,20.93652479557662,160.63667018194997,8.196545128192232,0.8629199269387714,46.62013544543724,53.379864554562765,0.1613481310880096,22.897882163838247,25.179306738091537,0.0229554587774109,53.076200896656765,47.35596873023288,0.4806075318871005,3.6874884605023044,0.188155453807405,0.0198087228110494,12441,5729,6712,41,24,17,1,5,10,21,4,0,5,2,3,106,73,12,50,1,32,46.04935294590467,53.95064705409533,0.329555501969295,0.0401896953621091,68.86792452830188,11.320754716981131,2.0,64.0,10810,59,183,7488,5049,0.545654024051804,1.6923644773358002,58.358087881591125,4.184233117483811,4.21968362627197,48.17540703052729,40.872975948196114,6.803505087881591,1.536758556891767,0.2788159111933395,5.382524514338575,41.32156244218316,0.9985786428606325,34,low
00BNFJ,Burnage,03BNFJ,Burnage,13717.988158105447,21.104991391869305,8.023384544410499,13.081606847458806,3024.0230139929295,5062.690277811016,1492.4518183546265,2.0,2876.817665458392,45.249687750697014,211.5074504205124,15.0983686853062,2.019144223926511,46.31855640856632,53.681443591433684,0.15384902763164404,21.996114665938393,29.47942173938253,0.03950468802655554,56.823892191608806,43.29117485390869,0.8937873989451686,4.177767922077253,0.2982281723114685,0.03988283132341921,13868,6485,7383,91,41,50,6,14,29,35,7,5,23,9,14,181,106,15,81,2,51,46.76233054513989,53.23766945486011,0.6561869051052783,0.1658494375540813,58.56353591160221,8.287292817679559,2.469135802469136,62.96296296296296,13721,103,804,9334,5510,0.7509241308942496,5.8604627942569785,58.086626339188115,4.831064791195978,5.581408060636979,43.9147576707237,41.58989286495153,9.860765979156039,3.292354784636688,0.8360243422491074,8.927612418919903,40.78206253188543,0.9864466736470818,39,low
00BNFK,Central,03BNFK,Central,11857.16273139687,18.67439200524822,13.646569358957919,5.027822646290302,2213.4158318553136,4416.03692256204,137.65400579928138,14.415007973297763,3722.872155333999,77.70755040199244,307.80130950120997,48.16177077011096,28.041331109788413,46.030230585008695,46.94624483189411,0.1574946083501059,19.040078939883532,3.117138923725734,0.32642408172924986,84.30346531555064,40.03383020984035,1.7596671351404614,6.970080071763389,1.0906106904144515,0.6349886018054339,9040,4554,4486,154,80,74,13,36,35,34,36,23,14,10,4,215,90,29,106,1,14,50.376106194690266,49.62389380530973,1.7035398230088497,0.1548672566371681,41.86046511627907,13.488372093023257,0.9433962264150944,13.20754716981132,11715,710,994,9758,6197,6.060243277848911,8.484377294067434,48.67821681604781,5.50713358941528,4.096091335894154,20.726818608621425,39.147851472471196,31.162511310285954,2.366303883909518,1.4348894579598805,9.824314127187366,63.235253094323504,0.997099516826981,64,low
